Material,Target_Size,N_atoms,Total_Energy,Energy_per_atom,Surface_atoms,Surface_fraction,MD_Material,MD_Temperature,MD_Avg_Energy,MD_Energy_Fluctuation,MD_Thermal_Expansion,MD_MSD
Au,13,13,11.15755602965183,0.8582735407424485,12,0.9230769230769231,Au,100.0,21.705237298633747,2.0035763226566554,-0.2278012809687029,0.15322574596299524
Au,19,43,22.397073411546113,0.5208621723615375,42,0.9767441860465116,Au,300.0,23.03878395468965,1.686300864893728,-0.1477207719345337,0.25005469559029075
Au,43,93,37.87894267683298,0.4073004588906772,74,0.7956989247311828,Au,500.0,24.345773805861732,1.3297138369748807,-0.14066674908123922,0.5073300885179237
Au,55,55,29.29582418518054,0.5326513488214644,42,0.7636363636363637,Au,700.0,25.29092420412415,1.3761786030736103,-0.05612082399684404,0.7647304209478673
Au,79,165,49.64200239782507,0.3008606205928792,122,0.7393939393939394,Ag,100.0,19.588986343900384,0.8334768216419379,-0.17970683428621115,0.11555511732693621
Au,87,165,49.64200239782507,0.3008606205928792,122,0.7393939393939394,Ag,300.0,20.905958895121145,0.6482321857680652,-0.15796580731572085,0.236834603236874
Au,135,279,73.84661364593727,0.26468320303203324,186,0.6666666666666666,Ag,500.0,21.804865477284498,0.6064896741531658,-0.16261469075931778,0.5218955523841792
Au,147,147,58.09262066957774,0.3951878957114132,92,0.6258503401360545,Ag,700.0,22.53366157969423,0.6705608875636445,-0.11397733362282025,0.8605375638461858
Ag,13,13,8.384579611223696,0.6449676624018228,12,0.9230769230769231,Cu,100.0,26.291206001986897,0.6470119981879896,-0.09024156193011912,0.1347889637481148
Ag,19,43,18.753096637030616,0.4361185264425725,42,0.9767441860465116,Cu,300.0,27.175319013717186,0.48795292502221843,-0.10269708619140161,0.1690755682886568
Ag,43,93,32.19586116516613,0.34619205553942073,74,0.7956989247311828,Cu,500.0,28.831267797145838,0.6602280421958726,-0.07926321551969862,0.37554623258055153
Ag,55,55,22.518944442928028,0.4094353535077823,42,0.7636363636363637,Cu,700.0,29.739121779699868,0.6856911150076871,-0.07569156737619709,0.9133955485504024
Ag,79,165,43.511898745553125,0.2637084772457765,122,0.7393939393939394,Pd,100.0,23.122263899338982,1.3399743065531888,-0.19616594720826708,0.11855533103996782
Ag,87,165,43.511898745553125,0.2637084772457765,122,0.7393939393939394,Pd,300.0,24.283672296930362,1.0760863127897087,-0.1851198566754828,0.24216926627694768
Ag,135,279,64.77297240710222,0.23216119142330544,186,0.6666666666666666,Pd,500.0,25.330300439454195,0.9323153903214894,-0.1195125592935673,0.3160627886405515
Ag,147,147,45.027890669374216,0.3063121814243144,92,0.6258503401360545,Pd,700.0,26.188137723953677,0.8158739894341731,-0.11597181586190786,0.6485359924962371
Cu,13,13,10.60271119417797,0.8155931687829209,12,0.9230769230769231,,,,,,
Cu,19,43,25.0730260130823,0.5830936282112162,42,0.9767441860465116,,,,,,
Cu,43,93,43.24523878736539,0.46500256760607944,74,0.7956989247311828,,,,,,
Cu,55,55,28.384784015411377,0.5160869820983887,42,0.7636363636363637,,,,,,
Cu,79,165,58.967840019928715,0.3573808486056286,122,0.7393939393939394,,,,,,
Cu,87,165,58.967840019928715,0.3573808486056286,122,0.7393939393939394,,,,,,
Cu,135,279,87.49316220662055,0.3135955634645898,186,0.6666666666666666,,,,,,
Cu,147,147,56.17742684123717,0.38215936626691954,92,0.6258503401360545,,,,,,
Pd,13,13,10.651487003127109,0.8193451540867007,12,0.9230769230769231,,,,,,
Pd,19,43,22.540833555316564,0.5242054315189898,42,0.9767441860465116,,,,,,
Pd,43,93,38.42163823772414,0.4131358950292918,74,0.7956989247311828,,,,,,
Pd,55,55,28.10726557339864,0.5110411922436117,42,0.7636363636363637,,,,,,
Pd,79,165,51.0632344055,0.3094741479121212,122,0.7393939393939394,,,,,,
Pd,87,165,51.0632344055,0.3094741479121212,122,0.7393939393939394,,,,,,
Pd,135,279,75.94426867876294,0.2722016798521969,186,0.6666666666666666,,,,,,
Pd,147,147,55.705513085894985,0.3789490686115305,92,0.6258503401360545,,,,,,
